Source,Target,Date,Location,Weight,Latitude,Longitude,Coordinates
Zotero,Google Books,1/1/2009 0:00:00,"College Park, Maryland, United States",51,38.9896967,-76.93776,"38.9896967, -76.93776"
Zotero,Google Books,1/1/2010 0:00:00,"London, England, United Kingdom",4,51.5072178,-0.1275862,"51.5072178, -0.1275862"
Zotero,Google Books,1/1/2011 0:00:00,"Stanford, California, United States",16,37.424106,-122.1660756,"37.4241059999999, -122.1660756"
Zotero,Google Books,1/1/2012 0:00:00,"Hamburg, Germany",16,53.5488282,9.9871703,"53.5488282, 9.98717029999999"
Zotero,Google Books,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",10,40.813616,-96.7025955,"40.813616, -96.7025955"
Zotero,Google Books,1/1/2014 0:00:00,"Lausanne, Switzerland",12,46.5196535,6.6322734,"46.5196535, 6.6322734"
Zotero,Google Books,1/1/2015 0:00:00,"Sydney, Australia",17,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
Zotero,Google Books,1/1/2016 0:00:00,"Kraków, Poland",20,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
Zotero,Google Books,1/1/2017 0:00:00,"Montréal, Canada",9,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
Zotero,Google Books,1/1/2018 0:00:00,"Mexico City, Mexico",11,19.4326077,-99.133208,"19.4326077, -99.133208"
Zotero,Google Books,1/1/2019 0:00:00,"Utrecht, Netherlands",5,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
Zotero,Google Books,1/1/2022 0:00:00,"Tokyo, Japan",9,35.6764225,139.650027,"35.6764225, 139.650027"
Zotero,Neatline,1/1/2010 0:00:00,"London, England, United Kingdom",5,51.5072178,-0.1275862,"51.5072178, -0.1275862"
Zotero,Neatline,1/1/2012 0:00:00,"Hamburg, Germany",34,53.5488282,9.9871703,"53.5488282, 9.98717029999999"
Zotero,Neatline,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",21,40.813616,-96.7025955,"40.813616, -96.7025955"
Zotero,Neatline,1/1/2014 0:00:00,"Lausanne, Switzerland",14,46.5196535,6.6322734,"46.5196535, 6.6322734"
Zotero,Neatline,1/1/2015 0:00:00,"Sydney, Australia",4,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
Zotero,Neatline,1/1/2016 0:00:00,"Kraków, Poland",14,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
Zotero,Neatline,1/1/2017 0:00:00,"Montréal, Canada",14,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
Zotero,Neatline,1/1/2018 0:00:00,"Mexico City, Mexico",4,19.4326077,-99.133208,"19.4326077, -99.133208"
Zotero,Neatline,1/1/2019 0:00:00,"Utrecht, Netherlands",2,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
Zotero,Palladio,1/1/2015 0:00:00,"Sydney, Australia",20,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
Zotero,Palladio,1/1/2016 0:00:00,"Kraków, Poland",7,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
Zotero,Palladio,1/1/2017 0:00:00,"Montréal, Canada",7,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
Zotero,Palladio,1/1/2018 0:00:00,"Mexico City, Mexico",2,19.4326077,-99.133208,"19.4326077, -99.133208"
Zotero,Palladio,1/1/2019 0:00:00,"Utrecht, Netherlands",2,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
Zotero,Python,1/1/2007 0:00:00,"Urbana-Champaign, Illinois, United States",2,40.1105875,-88.2072697,"40.1105875, -88.2072697"
Zotero,Python,1/1/2008 0:00:00,"Oulu, Finland",9,65.0120888,25.4650773,"65.0120888, 25.4650773"
Zotero,Python,1/1/2009 0:00:00,"College Park, Maryland, United States",40,38.9896967,-76.93776,"38.9896967, -76.93776"
